Timestamp,Shift,Sleep,Hour_Work,Rested
4/7/2024 0:16:26,Night shift,4.00,12.00,Yes
4/7/2024 0:33:51,Day shift,6.50,14.00,Yes
4/7/2024 0:45:21,Night shift,6.00,12.00,Yes
4/7/2024 2:05:06,Night shift,3.00,12.00,Yes
4/7/2024 9:28:14,Day shift,6.50,12.00,No
4/7/2024 10:17:34,Night shift,4.00,13.00,No
4/7/2024 12:32:49,Day shift,7.50,12.00,No
4/7/2024 14:32:11,Night shift,4.00,15.00,Yes
4/7/2024 15:56:59,Day shift,6.00,16.00,Yes
4/7/2024 17:33:52,Night shift,7.00,13.00,Yes
4/7/2024 17:36:08,Day shift,8.00,13.00,Yes
4/8/2024 10:51:40,Day shift,10.00,12.00,Yes
4/8/2024 10:57:53,Day shift,7.00,13.00,Yes
4/8/2024 11:17:11,Day shift,8.00,12.00,No
4/8/2024 11:19:31,Day shift,6.00,16.00,No
4/8/2024 11:20:31,Day shift,5.00,12.00,No
4/8/2024 11:34:01,Day shift,8.00,12.00,Yes
4/8/2024 21:00:14,Night shift,3.00,16.00,No
4/8/2024 21:03:21,Day shift,9.00,12.00,Yes
4/9/2024 20:32:22,Night shift,6.00,12.00,Yes
4/9/2024 20:32:36,Day shift,7.00,12.00,Yes
4/9/2024 20:32:53,Night shift,4.00,12.00,No
4/9/2024 20:33:16,Night shift,8.00,72.00,No
4/9/2024 20:33:26,Night shift,4.00,12.00,No
4/9/2024 20:33:49,Night shift,4.00,12.00,No
4/9/2024 20:34:03,Day shift,8.00,12.00,Yes
4/9/2024 20:38:11,Night shift,6.00,12.00,Yes
4/9/2024 20:40:37,Day shift,7.00,13.00,Yes
4/9/2024 20:40:58,Night shift,6.00,14.00,Yes
4/9/2024 20:41:16,Day shift,8.00,12.00,No
4/9/2024 20:41:47,Night shift,5.00,15.00,Yes
4/9/2024 20:42:04,Day shift,9.00,16.00,No
4/9/2024 20:42:24,Night shift,4.00,12.00,No
4/9/2024 20:43:27,Day shift,10.00,13.00,Yes
4/9/2024 20:43:44,Night shift,3.00,14.00,No
4/9/2024 20:44:10,Day shift,11.00,15.00,Yes
4/9/2024 20:44:38,Night shift,7.00,16.00,Yes
4/9/2024 20:45:01,Day shift,6.00,12.00,No
4/9/2024 20:45:39,Night shift,8.00,13.00,No
4/9/2024 21:11:33,Night shift,8.00,15.00,Yes
4/9/2024 21:14:48,Day shift,9.00,45.00,Yes
4/9/2024 21:24:25,Day shift,6.00,8.00,No
4/9/2024 21:46:14,Day shift,9.00,45.00,Yes
4/10/2024 1:12:12,Night shift,5.50,12.00,No
4/10/2024 2:11:39,Night shift,3.00,12.00,No
4/10/2024 2:11:59,Night shift,5.00,12.00,No
4/10/2024 2:26:48,Night shift,4.00,12.00,No
4/10/2024 4:12:31,Night shift,5.00,40.00,No
4/10/2024 6:37:01,Night shift,3.00,12.00,No
4/10/2024 7:35:18,Day shift,6.00,14.00,Yes
4/10/2024 9:11:58,Day shift,6.00,12.50,No
